2019 Authorized Budget,,,,,Mar-17,,,,Apr-17,,,,May-17,,,,Jun-17,,,,Jul-17,,,,Aug-17,,,,Sep-17,,,,Oct-17,,,,Nov-17,,,,Dec-17,,,,Jan-18,,,,Feb-18,,,,Mar-18,,,,Apr-18,,,,May-18,,,,Jun-18,,,,Jul-18,,,,Aug-18,,,,Sep-18,,,,Oct-18,,,,Nov-18,,,,Dec-18,,,,Jan-19,,,,Feb-19,,,
Position #,Position Description,FTE Percent,Location,2019 Budgeted Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary 
1,ASST CITY ATTY, 1.00 ,ATTORNEY," 154,755 ",3504,ASST CITY ATTY, 1.00 ,143627.12,3504,ASST CITY ATTY,1.00,143627.12,3504,ASST CITY ATTY,1.00,143627.12,3504,ASST CITY ATTY,1,143627.12,3504,ASST CITY ATTY,1,146499.86,3504,ASST CITY ATTY,1,146499.86,3504,ASST CITY ATTY,1,146499.86,3504,ASST CITY ATTY,1,146499.86,3504,ASST CITY ATTY,1,146499.86,3504,ASST CITY ATTY,1,147964.70,3504,ASST CITY ATTY, 1.00 ,147964.70,3504,ASST CITY ATTY, 1.00 ,147964.70,3504,ASST CITY ATTY, 1.00 ,147964.70,3504,ASST CITY ATTY, 1.00 ,147964.70,3504,ASST CITY ATTY, 1.00 ,147964.70,3504,ASST CITY ATTY, 1.00 ,147964.70,3504,ASST CITY ATTY, 1.00 ,149309.68,3504,ASST CITY ATTY, 1.00 ,149309.68,3504,ASST CITY ATTY,1,149309.68,3504,ASST CITY ATTY,1,149309.68,3504,ASST CITY ATTY,1,149309.68,3504,ASST CITY ATTY, 1.00 ,154162.32,3504,ASST CITY ATTY-23, 1.00 ,154162.32,3504,ASST CITY ATTY-23, 1.00 ,154162.32
2,LITIGATION ASST 1, 1.00 ,ATTORNEY," 71,788 ",2114,LITIGATION ASST 1, 1.00 ,67231.58,2114,LITIGATION ASST 1,1.00,67231.58,2114,LITIGATION ASST 1,1.00,67231.58,2114,LITIGATION ASST 1,1,67231.58,2114,LITIGATION ASST 1,1,68576.56,2114,LITIGATION ASST 1,1,68576.56,2114,LITIGATION ASST 1,1,68576.56,2114,LITIGATION ASST 1,1,68576.56,2114,LITIGATION ASST 1,1,68576.56,2114,LITIGATION ASST 1,1,69262.18,2114,LITIGATION ASST 1, 1.00 ,69262.18,2114,LITIGATION ASST 1, 1.00 ,69262.18,2114,LITIGATION ASST 1, 1.00 ,69262.18,2114,LITIGATION ASST 1, 1.00 ,69262.18,2114,LITIGATION ASST 1, 1.00 ,69262.18,2114,LITIGATION ASST 1, 1.00 ,69262.18,2114,LITIGATION ASST 1, 1.00 ,69262.18,2114,LITIGATION ASST 1, 1.00 ,69262.18,2114,LITIGATION ASST 1,1,69262.18,2114,LITIGATION ASST 1,1,69262.18,2114,LITIGATION ASST 1,1,69262.18,2114,LITIGATION ASST 1, 1.00 ,71513.26,2114,LITIGATION ASST 1-17, 1.00 ,71513.26,2114,LITIGATION ASST 1-17, 1.00 ,71513.26
3,CLERK-TYP 2, 1.00 ,ATTORNEY," 52,210 ",1351,CLERK-TYP 2, 1.00 ,48896.12,1351,CLERK-TYP 2,1.00,48896.12,1351,CLERK-TYP 2,1.00,48896.12,1351,CLERK-TYP 2,1,48896.12,1351,CLERK-TYP 2,1,49874.24,1351,CLERK-TYP 2,1,49874.24,1351,CLERK-TYP 2,1,49874.24,1351,CLERK-TYP 2,1,49874.24,1351,CLERK-TYP 2,1,49874.24,1351,CLERK-TYP 2,1,50372.92,1351,CLERK-TYP 2, 1.00 ,50372.92,1351,CLERK-TYP 2, 1.00 ,50372.92,1351,CLERK-TYP 2, 1.00 ,50372.92,1351,CLERK-TYP 2, 1.00 ,50372.92,1351,CLERK-TYP 2, 1.00 ,50372.92,1351,CLERK-TYP 2, 1.00 ,50372.92,1351,CLERK-TYP 2, 1.00 ,50372.92,1351,CLERK-TYP 2, 1.00 ,50372.92,1351,CLERK-TYP 2,1,50372.92,1351,CLERK-TYP 2,1,50372.92,1351,CLERK-TYP 2,1,50372.92,1351,CLERK-TYP 2, 1.00 ,52010.14,1351,CLERK-TYP 2-20, 1.00 ,52010.14,1351,CLERK-TYP 2-20, 1.00 ,52010.14
4,ASST CITY ATTY, 1.00 ,ATTORNEY," 154,755 ",3630,ASST CITY ATTY, 1.00 ,144932.84,3630,ASST CITY ATTY,1.00,144932.84,3630,ASST CITY ATTY,1.00,144932.84,3630,ASST CITY ATTY,1,144932.84,3630,ASST CITY ATTY,1,147831.58,3630,ASST CITY ATTY,1,147831.58,3630,ASST CITY ATTY,1,147831.58,3630,ASST CITY ATTY,1,147831.58,3630,ASST CITY ATTY,1,147831.58,3630,ASST CITY ATTY,1,149309.68,3630,ASST CITY ATTY, 1.00 ,149309.68,3630,ASST CITY ATTY, 1.00 ,149309.68,3630,ASST CITY ATTY, 1.00 ,149309.68,3630,ASST CITY ATTY, 1.00 ,149309.68,3630,ASST CITY ATTY, 1.00 ,149309.68,3630,ASST CITY ATTY, 1.00 ,149309.68,3630,ASST CITY ATTY, 1.00 ,149309.68,3630,ASST CITY ATTY, 1.00 ,149309.68,3630,ASST CITY ATTY,1,149309.68,3630,ASST CITY ATTY,1,149309.68,3630,ASST CITY ATTY,1,149309.68,3630,ASST CITY ATTY, 1.00 ,154162.32,3630,ASST CITY ATTY-23, 1.00 ,154162.32,3630,ASST CITY ATTY-23, 1.00 ,154162.32
6,SECRETARY 3-LEGAL, 1.00 ,ATTORNEY," 64,233 ",3074,SECRETARY 3-LEGAL, 1.00 ,59614.10,3074,SECRETARY 3-LEGAL,1.00,59614.10,3074,SECRETARY 3-LEGAL,1.00,59614.10,3074,SECRETARY 3-LEGAL,1,60156.20,3074,SECRETARY 3-LEGAL,1,61359.22,3074,SECRETARY 3-LEGAL,1,61359.22,3074,SECRETARY 3-LEGAL,1,61359.22,3074,SECRETARY 3-LEGAL,1,61359.22,3074,SECRETARY 3-LEGAL,1,61359.22,3074,SECRETARY 3-LEGAL,1,61972.82,3074,SECRETARY 3-LEGAL, 1.00 ,61972.82,3074,SECRETARY 3-LEGAL, 1.00 ,61972.82,3074,SECRETARY 3-LEGAL, 1.00 ,61972.82,3074,SECRETARY 3-LEGAL, 1.00 ,61972.82,3074,SECRETARY 3-LEGAL, 1.00 ,61972.82,3074,SECRETARY 3-LEGAL, 1.00 ,61972.82,3074,SECRETARY 3-LEGAL, 1.00 ,61972.82,3074,SECRETARY 3-LEGAL, 1.00 ,61972.82,3074,SECRETARY 3-LEGAL,1,61972.82,3074,SECRETARY 3-LEGAL,1,61972.82,3074,SECRETARY 3-LEGAL,1,61972.82,3074,SECRETARY 3-LEGAL, 1.00 ,63987.04,3074,SECRETARY 3-LEGAL-17, 1.00 ,63987.04,3074,SECRETARY 3-LEGAL-17, 1.00 ,63987.04
7,ATTY CITY, 1.00 ,ATTORNEY," 169,272 ",2963,ATTY CITY, 1.00 ,160113.98,2963,ATTY CITY,1.00,160113.98,2963,ATTY CITY,1.00,160113.98,2963,ATTY CITY,1,160113.98,2963,ATTY CITY,1,163316.14,2963,ATTY CITY,1,163316.14,2963,ATTY CITY,1,163316.14,2963,ATTY CITY,1,163316.14,2963,ATTY CITY,1,163316.14,2963,ATTY CITY,1,163316.14,2963,ATTY CITY, 1.00 ,163316.14,2963,ATTY CITY, 1.00 ,164949.20,2963,ATTY CITY, 1.00 ,164949.20,2963,ATTY CITY, 1.00 ,164949.20,2963,ATTY CITY, 1.00 ,164949.20,2963,ATTY CITY, 1.00 ,164949.20,2963,ATTY CITY, 1.00 ,164949.20,2963,ATTY CITY, 1.00 ,164949.20,2963,ATTY CITY,1,164949.20,2963,ATTY CITY,1,164949.20,2963,ATTY CITY,1,164949.20,2963,ATTY CITY, 1.00 ,164949.20,2963,ATTY CITY-21, 1.00 ,164949.20,2963,ATTY CITY-21, 1.00 ,170310.14
9,ASST CITY ATTY, 1.00 ,ATTORNEY," 94,379 ",3669,ASST CITY ATTY, 1.00 ,77420.46,3669,ASST CITY ATTY,1.00,77420.46,3669,ASST CITY ATTY,1.00,77420.46,3669,ASST CITY ATTY,1,77420.46,3669,ASST CITY ATTY,1,78968.76,3669,ASST CITY ATTY,1,78968.76,3669,ASST CITY ATTY,1,81337.88,3669,ASST CITY ATTY,1,81337.88,3669,ASST CITY ATTY,1,81337.88,3669,ASST CITY ATTY,1,82151.16,3669,ASST CITY ATTY, 1.00 ,82151.16,3669,ASST CITY ATTY, 1.00 ,82151.16,3669,ASST CITY ATTY, 1.00 ,86747.96,3669,ASST CITY ATTY, 1.00 ,86747.96,3669,ASST CITY ATTY, 1.00 ,86747.96,3669,ASST CITY ATTY, 1.00 ,86747.96,3669,ASST CITY ATTY, 1.00 ,86747.96,3669,ASST CITY ATTY, 1.00 ,86747.96,3669,ASST CITY ATTY,1,86747.96,3669,ASST CITY ATTY,1,86747.96,3669,ASST CITY ATTY,1,86747.96,3669,ASST CITY ATTY, 1.00 ,89567.40,3669,ASST CITY ATTY-23, 1.00 ,89567.40,3669,ASST CITY ATTY-23, 1.00 ,89567.40
10,LEGAL OFFICE ASST, 1.00 ,ATTORNEY," 51,323 ",1121,LEGAL OFFICE ASST, 1.00 ,48064.90,1121,LEGAL OFFICE ASST,1.00,48064.90,1121,LEGAL OFFICE ASST,1.00,48064.90,1121,LEGAL OFFICE ASST,1,48064.90,1121,LEGAL OFFICE ASST,1,49026.38,1121,LEGAL OFFICE ASST,1,49026.38,1121,LEGAL OFFICE ASST,1,49026.38,1121,LEGAL OFFICE ASST,1,49026.38,1121,LEGAL OFFICE ASST,1,49026.38,1121,LEGAL OFFICE ASST,1,49516.74,1121,LEGAL OFFICE ASST, 1.00 ,49516.74,1121,LEGAL OFFICE ASST, 1.00 ,49516.74,1121,LEGAL OFFICE ASST, 1.00 ,49516.74,1121,LEGAL OFFICE ASST, 1.00 ,49516.74,1121,LEGAL OFFICE ASST, 1.00 ,49516.74,1121,LEGAL OFFICE ASST, 1.00 ,49516.74,1121,LEGAL OFFICE ASST, 1.00 ,49516.74,1121,LEGAL OFFICE ASST, 1.00 ,49516.74,1121,LEGAL OFFICE ASST,1,49516.74,1121,LEGAL OFFICE ASST,1,49516.74,1121,LEGAL OFFICE ASST,1,49516.74,1121,LEGAL OFFICE ASST, 1.00 ,51125.88,1121,LEGAL OFFICE ASST-20, 1.00 ,51125.88,1121,LEGAL OFFICE ASST-20, 1.00 ,51125.88
11,SECRETARY 2-LEGAL, 1.00 ,ATTORNEY," 57,700 ",2665,SECRETARY 2-LEGAL, 1.00 ,54037.62,2665,SECRETARY 2-LEGAL,1.00,54037.62,2665,SECRETARY 2-LEGAL,1.00,54037.62,2665,SECRETARY 2-LEGAL,1,54037.62,2665,SECRETARY 2-LEGAL,1,55118.44,2665,SECRETARY 2-LEGAL,1,55118.44,2665,SECRETARY 2-LEGAL,1,55118.44,2665,SECRETARY 2-LEGAL,1,55118.44,2665,SECRETARY 2-LEGAL,1,55118.44,2665,SECRETARY 2-LEGAL,1,55669.64,2665,SECRETARY 2-LEGAL, 1.00 ,55669.64,2665,SECRETARY 2-LEGAL, 1.00 ,55669.64,2665,SECRETARY 2-LEGAL, 1.00 ,55669.64,2665,SECRETARY 2-LEGAL, 1.00 ,55669.64,2665,SECRETARY 2-LEGAL, 1.00 ,55669.64,2665,SECRETARY 2-LEGAL, 1.00 ,55669.64,2665,SECRETARY 2-LEGAL, 1.00 ,55669.64,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT
15,ASST CITY ATTY, 1.00 ,ATTORNEY," 98,339 ",1381,ASST CITY ATTY, 1.00 ,79743.04,1381,ASST CITY ATTY,1.00,84204.90,1381,ASST CITY ATTY,1.00,84204.90,1381,ASST CITY ATTY,1,84204.90,1381,ASST CITY ATTY,1,85889.18,1381,ASST CITY ATTY,1,85889.18,1381,ASST CITY ATTY,1,85889.18,1381,ASST CITY ATTY,1,85889.18,1381,ASST CITY ATTY,1,85889.18,1381,ASST CITY ATTY,1,86747.96,1381,ASST CITY ATTY, 1.00 ,86747.96,1381,ASST CITY ATTY, 1.00 ,86747.96,1381,ASST CITY ATTY, 1.00 ,86747.96,1381,ASST CITY ATTY, 1.00 ,86747.96,1381,ASST CITY ATTY, 1.00 ,91618.28,1381,ASST CITY ATTY, 1.00 ,91618.28,1381,ASST CITY ATTY, 1.00 ,91618.28,1381,ASST CITY ATTY, 1.00 ,91618.28,1381,ASST CITY ATTY,1,91618.28,1381,ASST CITY ATTY,1,91618.28,1381,ASST CITY ATTY,1,91618.28,1381,ASST CITY ATTY, 1.00 ,94596.06,1381,ASST CITY ATTY-23, 1.00 ,94596.06,1381,ASST CITY ATTY-23, 1.00 ,94596.06
